t_sec,seq,imu_hz,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_g_x,proj_g_y,proj_g_z
3.684123732,716,200.035606338,0.999882996,-0.014058000,-0.005832000,-0.001506000,0.000216822,0.000575313,-0.000650781,0.119971000,-0.285649002,9.803274155,-0.011704978,0.028095145,-0.999536721
3.687551471,717,200.035606338,0.999882996,-0.014061000,-0.005833000,-0.001510000,-0.003741811,0.000220959,-0.000021939,0.115328997,-0.277305990,9.800321579,-0.011707099,0.028101094,-0.999536529
3.692744649,718,200.035606338,0.999881983,-0.014072000,-0.005832000,-0.001511000,-0.004557544,0.000813638,-0.001285051,0.114399001,-0.287146986,9.800765991,-0.011705149,0.028123054,-0.999535933
3.698668143,719,200.035606338,0.999881983,-0.014075000,-0.005826000,-0.001512000,-0.000428094,0.003828886,0.001180960,0.114390001,-0.285396010,9.801405907,-0.011693188,0.028129060,-0.999535904
3.702634228,720,200.035606338,0.999881983,-0.014075000,-0.005817000,-0.001510000,-0.001253129,0.003730310,-0.000956353,0.113003999,-0.284060001,9.803191185,-0.011675133,0.028129110,-0.999536114
3.707714251,721,200.035606338,0.999881983,-0.014080000,-0.005807000,-0.001515000,-0.002486658,0.003607857,-0.001115789,0.115470998,-0.284112990,9.799169540,-0.011655292,0.028139082,-0.999536065
3.712762978,722,200.035606338,0.999881983,-0.014084000,-0.005801000,-0.001513000,0.000591771,0.002202571,0.003201353,0.108382002,-0.282047004,9.796959877,-0.011643249,0.028147122,-0.999535979
3.717735096,723,200.035606338,0.999881983,-0.014085000,-0.005796000,-0.001511000,-0.003758811,0.000946719,0.000508362,0.108277000,-0.277193993,9.795166969,-0.011633197,0.028149161,-0.999536038
3.722549707,724,200.035606338,0.999881983,-0.014094000,-0.005799000,-0.001512000,-0.003204686,-0.003574452,-0.002343803,0.115723997,-0.282086998,9.803341866,-0.011639252,0.028167137,-0.999535462
3.727591106,725,200.035606338,0.999881983,-0.014102000,-0.005804000,-0.001518000,-0.006237807,-0.000329850,-0.001556485,0.117794998,-0.286572993,9.801829338,-0.011649444,0.028183050,-0.999534894
3.732646745,726,200.035606338,0.999881983,-0.014111000,-0.005804000,-0.001517000,-0.002139233,0.001417574,0.001563152,0.116089001,-0.294743985,9.799525261,-0.011649443,0.028201060,-0.999534387
3.737929429,727,200.035606338,0.999881983,-0.014115000,-0.005796000,-0.001513000,-0.002039592,0.004967434,0.002307744,0.118858002,-0.284844011,9.799126625,-0.011633344,0.028209130,-0.999534346
3.742475907,728,200.035606338,0.999881983,-0.014120000,-0.005788000,-0.001513000,-0.002219605,0.001312732,-0.001111269,0.116030000,-0.279998004,9.805502892,-0.011617361,0.028219154,-0.999534249
3.747922945,729,200.035606338,0.999881983,-0.014120000,-0.005785000,-0.001517000,0.001800394,0.001704873,-0.001147379,0.116296999,-0.278963000,9.805665970,-0.011611475,0.028219116,-0.999534319
3.752587090,730,200.035606338,0.999881983,-0.014109000,-0.005781000,-0.001519000,0.005917871,0.001413054,-0.001358215,0.115214996,-0.276787996,9.804439545,-0.011603499,0.028197106,-0.999535032
3.757652489,731,200.035606338,0.999881983,-0.014099000,-0.005774000,-0.001520000,0.000541750,0.002700757,0.001147484,0.122047998,-0.281536013,9.802654266,-0.011589498,0.028177119,-0.999535758
3.762708928,732,200.035606338,0.999881983,-0.014110000,-0.005770000,-0.001520000,-0.009666838,0.000966738,-0.000863624,0.116649002,-0.286893010,9.803829193,-0.011581533,0.028199128,-0.999535230
3.767847833,733,200.035606338,0.999881983,-0.014129000,-0.005769000,-0.001522000,-0.005464888,-0.000280562,0.000384269,0.115180999,-0.287577987,9.802955627,-0.011579647,0.028237104,-0.999534180
3.772480457,734,200.035606338,0.999881983,-0.014134000,-0.005775000,-0.001521000,-0.001055017,-0.003604646,0.000882596,0.110037997,-0.279282004,9.804514885,-0.011591632,0.028247096,-0.999533759
3.777622274,735,200.035606338,0.999881983,-0.014132000,-0.005783000,-0.001518000,0.003068533,-0.002359563,0.001709149,0.115188003,-0.281228989,9.809143066,-0.011607540,0.028243106,-0.999533687
3.783003038,736,200.035606338,0.999881983,-0.014125000,-0.005785000,-0.001517000,0.000920836,-0.000361318,-0.000278136,0.118832000,-0.278598994,9.806721687,-0.011611490,0.028229114,-0.999534036
3.787539853,737,200.035606338,0.999881983,-0.014121000,-0.005784000,-0.001519000,0.000216299,0.001373295,-0.001284231,0.111045003,-0.281156003,9.800703049,-0.011609534,0.028221095,-0.999534285
3.792845672,738,200.035606338,0.999881983,-0.014118000,-0.005783000,-0.001517000,0.000028100,0.001711871,0.002240514,0.111654997,-0.279841989,9.799896240,-0.011607469,0.028215122,-0.999534478
3.797971617,739,200.035606338,0.999881983,-0.014118000,-0.005778000,-0.001514000,-0.002671034,0.000266791,0.001024351,0.108383000,-0.281735003,9.807397842,-0.011597385,0.028215172,-0.999534594
3.802546928,740,200.035606338,0.999881983,-0.014129000,-0.005778000,-0.001511000,-0.003125466,-0.000298765,0.001169126,0.112472996,-0.280562997,9.800420761,-0.011597334,0.028237204,-0.999533972
3.807639496,741,200.035606338,0.999881983,-0.014129000,-0.005779000,-0.001512000,-0.000697521,-0.000681062,-0.001824654,0.114995003,-0.280699998,9.797489166,-0.011599362,0.028237189,-0.999533949
3.812762496,742,200.035606338,0.999881983,-0.014132000,-0.005784000,-0.001513000,-0.000369364,-0.002114187,0.001842806,0.115226999,-0.283818007,9.797495842,-0.011609398,0.028243161,-0.999533664
3.817926489,743,200.035606338,0.999881983,-0.014131000,-0.005788000,-0.001510000,-0.000869506,-0.000054559,-0.000437013,0.115207002,-0.284029990,9.801958084,-0.011617309,0.028241185,-0.999533628
3.822464071,744,200.035606338,0.999881983,-0.014130000,-0.005787000,-0.001516000,0.001424747,-0.000227190,-0.003613844,0.113953002,-0.281019986,9.799007416,-0.011615476,0.028239119,-0.999533707
3.827683458,745,200.035606338,0.999881983,-0.014131000,-0.005789000,-0.001521000,-0.002986817,-0.000233368,-0.001241348,0.113349997,-0.281810999,9.800359726,-0.011619620,0.028241055,-0.999533605
3.832835738,746,200.035606338,0.999881983,-0.014138000,-0.005789000,-0.001524000,-0.002290116,0.000056426,-0.001084949,0.118069001,-0.280209005,9.802734375,-0.011619726,0.028255018,-0.999533209
3.837315528,747,200.035606338,0.999881983,-0.014140000,-0.005784000,-0.001528000,-0.002136632,0.002967775,0.000357478,0.122213997,-0.276602000,9.799119949,-0.011609846,0.028258986,-0.999533212
3.842944297,748,200.035606338,0.999881983,-0.014140000,-0.005783000,-0.001526000,0.003345988,-0.001408289,0.001398969,0.118280999,-0.280840009,9.802768707,-0.011607790,0.028259012,-0.999533235
